litho_code,lithology_name,n_samples,rock_group,tier,lith_class,keep,note
LAVA,Lava,4,Igneous Extrusive Effusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Extrusive Effusive]
MZGB,Monzogabbro,4,Igneous Mafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Intrusive]
MDYN,Dynamic Metamorphic Rock,4,Metamorphic Dynamic,basement,EXCLUDED,N,fault rock: chemistry inherits unknown protolith [ROCK_GROUP: Metamorphic Dynamic]
WTUF,Welded Tuff,3,Igneous Felsic Extrusive Fragmental,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Extrusive Fragmental]
HBLT,Hornblendite,3,Igneous Ultramafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic Intrusive]
PHOS,Phosphorite,3,Sediment Chemical/Biogenic Phosphatic/Nitrate,basement,EXCLUDED,N,n=3 [ROCK_GROUP: Sediment Chemical/Biogenic Phosphatic/Nitrate]
MUIN,Meta-Ultramafic Intrusive Rock,3,Meta-Igneous Ultramafic,basement,Mafic-ultramafic igneous,Y,ultramafic protolith chemistry [ROCK_GROUP: Meta-Igneous Ultramafic]
MJSP,Metajaspilite,3,Metasediment Chemical/Biogenic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Chemical/Biogenic]
PAGN,Paragneiss,3,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
IINT,Intermediate Intrusive,3,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
CATA,Cataclasite,3,Metamorphic Dynamic Breccia,basement,EXCLUDED,N,fault rock: chemistry inherits unknown protolith [ROCK_GROUP: Metamorphic Dynamic Breccia]
DUNT,Dunite,3,Igneous Ultramafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic Intrusive]
QZMD,Quartz Monzodiorite,2,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
MTUF,Metatuff,2,Meta-Igneous Fragmental,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous Fragmental]
WKST,Wackestone,2,Sediment Chemical/Biogenic Carbonate,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Carbonate]
UMAF,Igneous Ultramafic,2,Igneous Ultramafic,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic]
SBRC,Sedimentary Siliciclastic Breccia,2,Sediment Siliciclastic Rudite Breccia,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Rudite Breccia]
