litho_code,lithology_name,n_samples,rock_group,tier,lith_class,keep,note
PEGM,Pegmatite (No Composition),124,Igneous Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intrusive]
CBSD,Chemical/Biogenic Sediment,117,Sediment Chemical/Biogenic,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic]
DIMC,Diamictite,116,Sediment Siliciclastic Mixed Grainsize,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Mixed Grainsize]
LIGN,Lignite,115,Sediment Chemical/Biogenic Carbonaceous,basement,EXCLUDED,N,organic (coal/lignite): chemistry unlike silicate rocks [ROCK_GROUP: Sediment Chemical/Biogenic Carbonaceous]
MINT,Mafic Intrusive,115,Igneous Mafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Intrusive]
MDOL,Metadolerite,113,Meta-Igneous Mafic,basement,Mafic-ultramafic igneous,Y,mafic protolith chemistry survives [ROCK_GROUP: Meta-Igneous Mafic]
COQN,Coquina,112,Sediment Chemical/Biogenic Carbonate,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Carbonate]
MBAS,Metabasalt,112,Meta-Igneous Mafic,basement,Mafic-ultramafic igneous,Y,mafic protolith chemistry survives [ROCK_GROUP: Meta-Igneous Mafic]
TUFF,Tuff,107,Igneous Extrusive Fragmental,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Extrusive Fragmental]
KIMB,Kimberlite,105,Igneous Lamprophyric,basement,Mafic-ultramafic igneous,Y,lamprophyre: alkaline mafic dyke [ROCK_GROUP: Igneous Lamprophyric]
PRDT,Peridotite,102,Igneous Ultramafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic Intrusive]
TLLT,Tillite,99,Sediment Siliciclastic Mixed Grainsize,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Mixed Grainsize]
VOCL,Volcaniclastic Rock,98,Igneous Extrusive Fragmental,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Extrusive Fragmental]
ALBS,Albite-Altered Rock (Sediment Precursor),97,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
MGBR,Metagabbro,92,Meta-Igneous Mafic,basement,Mafic-ultramafic igneous,Y,mafic protolith chemistry survives [ROCK_GROUP: Meta-Igneous Mafic]
PSPE,Psammopelite,92,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
QFPO,Quartz Feldspar Porphyry,90,Igneous Felsic,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic]
FPEG,Felsic Pegmatite,83,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
MVOL,Metavolcanic,83,Meta-Igneous,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous]
ANDS,Andesite,79,Igneous Intermediate Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Extrusive]
MCGR,Microgranite,74,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
MMIG,Meta-Mafic Igneous Rock,66,Meta-Igneous Mafic,basement,Mafic-ultramafic igneous,Y,mafic protolith chemistry survives [ROCK_GROUP: Meta-Igneous Mafic]
FBRC,Fault Breccia,65,Metamorphic Dynamic Breccia,basement,EXCLUDED,N,fault rock: chemistry inherits unknown protolith [ROCK_GROUP: Metamorphic Dynamic Breccia]
PSAM,Psammite,63,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
MGRD,Metagranodiorite,63,Meta-Igneous Felsic,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous Felsic]
CHRT,Chert,63,Sediment Chemical/Biogenic Siliceous,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Siliceous]
HFLS,Hornfels,62,Metasomatic/Thermal/Hydrothermal,basement,EXCLUDED,N,"alteration: chemistry reflects process, not protolith [ROCK_GROUP: Metasomatic/Thermal/Hydrothermal]"
MIGM,Migmatite,62,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
SLAT,Slate,58,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
TONL,Tonalite,58,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
MINO,Mineralised Rock/Ore,57,Mineralised Rock/Ore,basement,EXCLUDED,N,ore: mineralisation chemistry [ROCK_GROUP: Mineralised Rock/Ore]
MZGR,Monzogranite,57,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
CAST,Calcsiltstone,57,Sediment Siliciclastic Lutite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Lutite]
FINT,Felsic Intrusive,56,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
IGNM,Ignimbrite,56,Igneous Felsic Extrusive Fragmental,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Extrusive Fragmental]
KOMT,Komatiite,53,Igneous Ultramafic Extrusive Effusive,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic Extrusive Effusive]
DLAR,Dolarenite,51,Sediment Chemical/Biogenic Carbonate,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Carbonate]
GOSS,Gossan,51,Duricrust Ferruginous,interburden,In-situ regolith,Y,duricrust caps the in-situ profile [ROCK_GROUP: Duricrust Ferruginous]
VEIN,Vein (Undifferentiated),50,Metasomatic/Thermal/Hydrothermal Vein,basement,EXCLUDED,N,"alteration: chemistry reflects process, not protolith [ROCK_GROUP: Metasomatic/Thermal/Hydrothermal Vein]"
BIFM,Banded Iron Formation,50,Sediment Chemical/Biogenic Ferruginous,basement,EXCLUDED,N,iron formation: too few complete-case samples; Fe-oxide chemistry distorts a small class [ROCK_GROUP: Sediment Chemical/Biogenic Ferruginous]
MQTZ,Metaquartzite,48,Metasediment Siliciclastic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Siliciclastic]
NORT,Norite,47,Igneous Mafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Intrusive]
MUD,Mud,46,Sediment Siliciclastic Lutite,overburden,Transported cover,Y,unconsolidated name within siliciclastic group
MGYW,Metagreywacke,45,Metasediment Siliciclastic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Siliciclastic]
CLRD,Calcrudite,45,Sediment Chemical/Biogenic Carbonate,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Carbonate]
MONZ,Monzonite,44,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
SYEN,Syenite,43,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
ANRT,Anorthosite,43,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
TRCH,Trachyte,40,Igneous Intermediate Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Extrusive]
UINT,Ultramafic Intrusive,40,Igneous Ultramafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic Intrusive]
FERC,Ferricrete,39,Duricrust Ferruginous,interburden,In-situ regolith,Y,duricrust caps the in-situ profile [ROCK_GROUP: Duricrust Ferruginous]
SEDM,Sedimentary Rock,39,Sediment,basement,EXCLUDED,N,sediment undiff: cover vs basement ambiguous [ROCK_GROUP: Sediment]
MTON,Metatonalite,37,Meta-Igneous Felsic,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous Felsic]
MSSI,Metasediment Siliciclastic,34,Metasediment Siliciclastic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Siliciclastic]
MZDI,Monzodiorite,33,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
MCGB,Microgabbro,33,Igneous Mafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Intrusive]
MGRN,Metagranite,33,Meta-Igneous Felsic,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous Felsic]
OTGN,Orthogneiss,32,Meta-Igneous General Metamorphic,basement,Metamorphic,Y,protolith composition unknown [ROCK_GROUP: Meta-Igneous General Metamorphic]
LOAM,Loam,31,Soil,overburden,Transported cover,Y,surface material [ROCK_GROUP: Soil]
IRFM,Iron Formation,30,Sediment Chemical/Biogenic Ferruginous,basement,EXCLUDED,N,iron formation: too few complete-case samples; Fe-oxide chemistry distorts a small class [ROCK_GROUP: Sediment Chemical/Biogenic Ferruginous]
CALU,Calcilutite,29,Sediment Chemical/Biogenic Carbonate,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Carbonate]
SERP,Serpentinite,29,Meta-Igneous General Metamorphic,basement,Metamorphic,Y,protolith composition unknown [ROCK_GROUP: Meta-Igneous General Metamorphic]
ALLV,Alluvium,28,Sediment,basement,EXCLUDED,N,sediment undiff: cover vs basement ambiguous [ROCK_GROUP: Sediment]
MINL,Mineral Specimen,27,General/Miscellaneous,basement,EXCLUDED,N,unresolvable without protolith info [ROCK_GROUP: General/Miscellaneous]
ARKS,Arkose,26,Sediment Siliciclastic Arenite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Arenite]
QZDI,Quartz Diorite,25,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
DTEX,Diatexite,25,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
MMUD,Metamudstone,25,Metasediment Siliciclastic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Siliciclastic]
IFEL,Igneous Felsic,24,Igneous Felsic,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic]
INTR,Igneous Intrusive,24,Igneous Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intrusive]
CLLV,Colluvium,23,Sediment,basement,EXCLUDED,N,sediment undiff: cover vs basement ambiguous [ROCK_GROUP: Sediment]
IGNE,Unclassified Igneous,23,Igneous,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous]
METL,Metallic Mineralised Rock/Ore,22,Mineralised Rock/Ore Metallic,basement,EXCLUDED,N,ore: mineralisation chemistry [ROCK_GROUP: Mineralised Rock/Ore Metallic]
ALBM,Albitite (Metasomatic),21,Metasomatic/Thermal/Hydrothermal,basement,EXCLUDED,N,"alteration: chemistry reflects process, not protolith [ROCK_GROUP: Metasomatic/Thermal/Hydrothermal]"
LAMP,Igneous Lamprophyric,21,Igneous Lamprophyric,basement,Mafic-ultramafic igneous,Y,lamprophyre: alkaline mafic dyke [ROCK_GROUP: Igneous Lamprophyric]
LCGR,Leucogranite,21,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
MGTM,Magnetite-Rich Rock (Metasomatic),21,Metasomatic/Thermal/Hydrothermal,basement,EXCLUDED,N,"alteration: chemistry reflects process, not protolith [ROCK_GROUP: Metasomatic/Thermal/Hydrothermal]"
UNKN,Unknown,20,No Information,basement,EXCLUDED,N,no rock group recorded [ROCK_GROUP: No Information]
MIIG,Meta-Intermediate Igneous Rock,19,Meta-Igneous Intermediate,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous Intermediate]
SYGN,Syenogranite,19,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
APLT,Aplite,19,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
GBNR,Gabbronorite,18,Igneous Mafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Intrusive]
MDIA,Metadiamictite,18,Metasediment Siliciclastic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Siliciclastic]
MCDI,Microdiorite,17,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
QZSY,Quartz Syenite,15,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
FSPO,Feldspar Porphyry,15,Igneous Felsic,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic]
GREI,Greisen,15,Metasomatic/Thermal/Hydrothermal,basement,EXCLUDED,N,"alteration: chemistry reflects process, not protolith [ROCK_GROUP: Metasomatic/Thermal/Hydrothermal]"
LPHY,Lamprophyre,14,Igneous Lamprophyric,basement,Mafic-ultramafic igneous,Y,lamprophyre: alkaline mafic dyke [ROCK_GROUP: Igneous Lamprophyric]
PAMP,Para-Amphibolite,14,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
ELUV,Eluvium,12,Residual Material,interburden,In-situ regolith,Y,in-situ residuum [ROCK_GROUP: Residual Material]
ARGL,Argillite,12,Sediment Siliciclastic Lutite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Lutite]
GRIT,Grit,12,Sediment Siliciclastic Arenite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Arenite]
AUGN,Augen Gneiss,12,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
